17.0726	12.8192	2.7551
20.6779	11.7799	-2.3434
15.3668	8.7782	-1.689
12.5678	6.0365	-3.0984
12.3093	8.4796	0.8499
-2.805	-2.1852	-0.4986
-5.7052	-3.349	0.5778
-1.3897	0.3436	1.9421
1.1124	0.5024	-0.265
-3.9027	-0.8816	2.5468
-0.2876	-1.914	-2.5505
-5.614	-4.9188	-1.8861
-8.4232	-7.6626	-3.2885
-8.675	-5.2251	0.6446
-21.8378	-14.2409	-0.1184
-21.5837	-16.6819	-4.0592
-18.7817	-13.9386	-2.6502
-13.4573	-10.9305	-3.3078
-17.07	-9.9013	1.7825
-12.0482	-8.5112	-1.0267
-14.555	-8.6748	1.1776
-18.8725	-12.3681	-0.1859
-15.9732	-11.2041	-1.2609
18.6097	6.2744	-8.648
15.7114	5.1119	-7.5717
20.0238	8.8058	-6.2022
22.5248	8.9619	-8.4123
17.5115	7.5814	-5.5969
21.1244	6.5449	-10.6985
15.802	3.5392	-10.0391
12.9908	0.7931	-11.4433
12.7449	3.2353	-7.5088
0.2867	-5.6941	-8.8302
0.5428	-8.1363	-12.7747
3.3439	-5.3933	-11.3653
8.6682	-2.3854	-12.0231
5.0532	-1.3562	-6.9307
10.08	0.0358	-9.7417
7.571	-0.1289	-7.5369
3.2517	-3.8224	-8.899
6.1519	-2.6589	-9.9758
18.1681	11.5122	-0.2935
15.2727	10.3512	0.7824
19.5833	14.044	2.152
22.1074	14.2206	-0.0496
